t1_elo,t2_elo,elo_diff,elo_expected,t1_win_rate_last5,t1_win_rate_last10,t1_win_rate_season,t1_matches_played,t1_chase_win_rate,t1_set_win_rate,t2_win_rate_last5,t2_win_rate_last10,t2_win_rate_season,t2_matches_played,t2_chase_win_rate,t2_set_win_rate,h2h_t1_win_rate,h2h_matches,h2h_recent_t1_win_rate,t1_season_win_rate,t1_season_matches,t1_win_streak,t1_loss_streak,t1_season_chase_win_rate,t2_season_win_rate,t2_season_matches,t2_win_streak,t2_loss_streak,t2_season_chase_win_rate,t1_powerplay_bat_rr,t1_powerplay_bat_dot_pct,t1_powerplay_bat_bound_pct,t1_powerplay_bowl_rr,t1_powerplay_bowl_dot_pct,t1_powerplay_bowl_bound_pct,t1_powerplay_bowl_extras_per_match,t1_middle_bat_rr,t1_middle_bat_dot_pct,t1_middle_bat_bound_pct,t1_middle_bowl_rr,t1_middle_bowl_dot_pct,t1_middle_bowl_bound_pct,t1_middle_bowl_extras_per_match,t1_death_bat_rr,t1_death_bat_dot_pct,t1_death_bat_bound_pct,t1_death_bowl_rr,t1_death_bowl_dot_pct,t1_death_bowl_bound_pct,t1_death_bowl_extras_per_match,t2_powerplay_bat_rr,t2_powerplay_bat_dot_pct,t2_powerplay_bat_bound_pct,t2_powerplay_bowl_rr,t2_powerplay_bowl_dot_pct,t2_powerplay_bowl_bound_pct,t2_powerplay_bowl_extras_per_match,t2_middle_bat_rr,t2_middle_bat_dot_pct,t2_middle_bat_bound_pct,t2_middle_bowl_rr,t2_middle_bowl_dot_pct,t2_middle_bowl_bound_pct,t2_middle_bowl_extras_per_match,t2_death_bat_rr,t2_death_bat_dot_pct,t2_death_bat_bound_pct,t2_death_bowl_rr,t2_death_bowl_dot_pct,t2_death_bowl_bound_pct,t2_death_bowl_extras_per_match,t1_top_bat_sr,t1_top_bat_avg,t1_mid_bat_sr,t1_mid_bat_avg,t1_low_bat_sr,t1_low_bat_avg,t1_xi_bat_sr,t1_xi_bat_avg,t1_xi_bat_consistency,t1_xi_bat_experience,t1_xi_not_out_pct,t1_xi_bowl_econ,t1_xi_bowl_wkts,t1_xi_bowl_experience,t1_frontline_bowlers,t1_best_bowler_econ,t1_venue_bat_avg,t1_venue_bowl_econ,t1_venue_familiarity,t1_opp_bat_sr,t1_opp_bowl_econ,t1_spin_count,t1_pace_count,t1_left_bat_count,t1_left_bowl_count,t1_specialist_bat,t1_wk_bat,t1_bowling_ar,t1_batting_ar,t1_allrounder,t1_specialist_bowler,t2_top_bat_sr,t2_top_bat_avg,t2_mid_bat_sr,t2_mid_bat_avg,t2_low_bat_sr,t2_low_bat_avg,t2_xi_bat_sr,t2_xi_bat_avg,t2_xi_bat_consistency,t2_xi_bat_experience,t2_xi_not_out_pct,t2_xi_bowl_econ,t2_xi_bowl_wkts,t2_xi_bowl_experience,t2_frontline_bowlers,t2_best_bowler_econ,t2_venue_bat_avg,t2_venue_bowl_econ,t2_venue_familiarity,t2_opp_bat_sr,t2_opp_bowl_econ,t2_spin_count,t2_pace_count,t2_left_bat_count,t2_left_bowl_count,t2_specialist_bat,t2_wk_bat,t2_bowling_ar,t2_batting_ar,t2_allrounder,t2_specialist_bowler,venue_avg_1st_total,venue_chase_win_rate,venue_bat_first_win_rate,venue_matches_count,venue_boundary_size,toss_is_team1,toss_chose_bat,toss_venue_interaction,match_num_in_season,t1_days_rest,t2_days_rest,t1_is_home,t2_is_home,is_playoff,t1_powerplay_matchup,t2_powerplay_matchup,t1_middle_matchup,t2_middle_matchup,t1_death_matchup,t2_death_matchup,diff_elo,diff_win_rate_last5,diff_win_rate_last10,diff_win_rate_season,diff_matches_played,diff_chase_win_rate,diff_set_win_rate,diff_season_win_rate,diff_season_matches,diff_win_streak,diff_loss_streak,diff_season_chase_win_rate,diff_powerplay_bat_rr,diff_powerplay_bat_dot_pct,diff_powerplay_bat_bound_pct,diff_powerplay_bowl_rr,diff_powerplay_bowl_dot_pct,diff_powerplay_bowl_bound_pct,diff_powerplay_bowl_extras_per_match,diff_middle_bat_rr,diff_middle_bat_dot_pct,diff_middle_bat_bound_pct,diff_middle_bowl_rr,diff_middle_bowl_dot_pct,diff_middle_bowl_bound_pct,diff_middle_bowl_extras_per_match,diff_death_bat_rr,diff_death_bat_dot_pct,diff_death_bat_bound_pct,diff_death_bowl_rr,diff_death_bowl_dot_pct,diff_death_bowl_bound_pct,diff_death_bowl_extras_per_match,diff_top_bat_sr,diff_top_bat_avg,diff_mid_bat_sr,diff_mid_bat_avg,diff_low_bat_sr,diff_low_bat_avg,diff_xi_bat_sr,diff_xi_bat_avg,diff_xi_bat_consistency,diff_xi_bat_experience,diff_xi_not_out_pct,diff_xi_bowl_econ,diff_xi_bowl_wkts,diff_xi_bowl_experience,diff_frontline_bowlers,diff_best_bowler_econ,diff_venue_bat_avg,diff_venue_bowl_econ,diff_venue_familiarity,diff_opp_bat_sr,diff_opp_bowl_econ,diff_spin_count,diff_pace_count,diff_left_bat_count,diff_left_bowl_count,diff_specialist_bat,diff_wk_bat,diff_bowling_ar,diff_batting_ar,diff_allrounder,diff_specialist_bowler,diff_days_rest,diff_is_home,diff_powerplay_matchup,diff_middle_matchup,diff_death_matchup,t1_xi_changes,t2_xi_changes,t1_avg_win_margin,t2_avg_win_margin,t1_captain_win_rate,t1_captain_matches,t2_captain_win_rate,t2_captain_matches,t1_death_bowl_avg_econ,t1_death_bowl_specialists,t1_death_bowl_best_econ,t2_death_bowl_avg_econ,t2_death_bowl_specialists,t2_death_bowl_best_econ,t1_top3_run_share,t2_top3_run_share,t1_collapse_rate,t2_collapse_rate,t1_fielding_dpi,t2_fielding_dpi,t1_fielding_total,t2_fielding_total,matchup_t1_bat_sr,matchup_t1_dismiss_rate,matchup_t2_bat_sr,matchup_t2_dismiss_rate,matchup_sr_diff,matchup_dismiss_diff,matchup_t1_pairs,matchup_t2_pairs,t1_travel_last5_km,t2_travel_last5_km,t1_travel_avg_km,t2_travel_avg_km,t1_table_pts,t1_table_pos,t1_table_nrr,t1_table_played,t1_table_win_pct,t2_table_pts,t2_table_pos,t2_table_nrr,t2_table_played,t2_table_win_pct,diff_table_pts,diff_table_pos,diff_table_nrr,diff_table_win_pct,is_night,is_day_match,temperature,humidity,dew_point,precipitation,wind_speed,cloud_cover,match_id,date,season,team1,team2,label
1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,107.26700000000001,20.4,147.53205555555556,25.1,115.81257142857143,4.96,127.64580793650794,14.559999999999999,13.738098770914508,765,0.45999999999999996,8.526958333333333,0.7875,759,8,6.375,0.0,0.0,0,119.05812663182088,7.204794179768681,5,4,2,3,3,1,0,1,0,8,115.327,32.7,129.01552777777778,20.7,150.20271428571428,8.08,136.15724386724386,17.145454545454545,15.607235646205748,1058,0.41428571428571426,7.691857142857144,0.9857142857142858,906,7,5.075,0.0,0.0,0,134.09686229102707,7.708851306480038,5,6,5,1,4,0,2,0,3,5,160.0,0.5,0.5,0,75,0,0,0.5,1,30,30,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8.059999999999988,-12.300000000000004,18.51652777777778,4.400000000000002,-34.39014285714285,-3.12,-8.511435930735928,-2.585454545454546,-1.8691368752912396,-293,0.04571428571428571,0.8351011904761894,-0.1982142857142858,-147,1,1.2999999999999998,0.0,0.0,0,-15.038735659206182,-0.5040571267113565,0,-2,-3,2,-1,1,-2,1,-3,3,0,-1,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.5,0,10.0,0,10.0,10.0,0,10.0,0.5,0.5,0.2,0.2,0.23590714307523336,0.22706576632119513,2.3590714307523335,2.4977234295331465,120.0,0.05,120.0,0.05,0.0,0.0,0,0,0,0,0,0,0,5,0.0,0,0.5,0,5,0.0,0,0.5,0,0,0.0,0.0,1,0,29.5,71.2,23.7,0.17,4.2,34.8,829705,2015-04-08,2015,Mumbai Indians,Kolkata Knight Riders,0
1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,132.96674074074073,27.066666666666666,144.64874999999998,29.0,112.41982222222222,7.995,126.81323484848485,18.925,16.053014561940213,1217,0.475,8.528654320987654,0.8555555555555556,892,9,6.868888888888889,17.162700413484114,7.5829425240895425,195,124.29284005688336,6.835761004749301,4,7,2,2,2,2,1,0,3,8,134.351,24.7,122.79145000000001,17.22857142857143,114.05381904761904,6.76,119.87066774891774,13.14935064935065,11.604793737808327,786,0.39999999999999997,7.981285714285714,0.8428571428571429,747,7,7.191,12.56350267379679,7.509379509379509,60,120.41661268408555,7.180575100853739,7,3,3,1,3,1,2,2,0,5,160.0,0.5,0.5,0,70,0,0,0.5,2,30,30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.3842592592592666,2.366666666666667,21.857299999999967,11.771428571428569,-1.633996825396821,1.2350000000000003,6.942567099567114,5.775649350649351,4.4482208241318855,431,0.07500000000000001,0.5473686067019399,0.012698412698412764,145,2,-0.322111111111111,4.599197739687323,0.07356301471003324,135,3.876227372797814,-0.3448140961044377,-3,4,-1,1,-1,1,-1,-2,3,3,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.5,0,10.0,0,10.0,10.0,0,10.0,0.5,0.5,0.2,0.2,0.25830305217314264,0.23530579727145334,2.841333573904569,2.5883637699859867,120.0,0.05,120.0,0.05,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0,0.5,0,3,0.0,0,0.5,0,-1,0.0,0.0,1,0,31.4,61.0,23.0,0.05,17.9,34.8,829707,2015-04-09,2015,Chennai Super Kings,Delhi Capitals,1
1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,120.23666666666668,26.0,110.6580507936508,18.979999999999997,122.41503888888887,8.58952380952381,116.87291955266956,14.895238095238096,13.240206875101427,520,0.35198412698412695,7.899,0.8857142857142858,468,7,7.5,7.162337662337663,8.012175324675324,32,130.56079761345688,8.498918845352064,4,6,0,1,3,1,2,0,2,5,108.92930555555554,27.5,130.13735714285713,21.9,93.21822222222222,6.234285714285714,109.49992279942279,15.797402597402597,16.989985194959115,758,0.6276190476190476,7.562126984126984,1.1142857142857143,277,7,5.75,8.0,3.5,7,146.8574701469326,7.458020050125313,6,4,3,2,4,1,0,1,1,7,160.0,0.5,0.5,0,70,0,0,0.5,3,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.307361111111135,-1.5,-19.479306349206325,-2.9200000000000017,29.19681666666665,2.3552380952380956,7.372996753246767,-0.9021645021645011,-3.749778319857688,-238,-0.2756349206349207,0.33687301587301643,-0.22857142857142854,191,0,1.75,-0.8376623376623371,4.512175324675324,25,-16.296672533475714,1.0408987952267506,-2,2,-3,-1,-1,0,2,-1,1,-2,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.5,0,10.0,0,10.0,10.0,0,10.0,0.5,0.5,0.2,0.2,0.2665949250410234,0.27665827006008487,2.932544175451257,3.0432409706609334,120.0,0.05,120.0,0.05,0.0,0.0,0,0,0,0,0,0,0,3,0.0,0,0.5,0,4,0.0,0,0.5,0,-1,0.0,0.0,1,0,32.4,43.8,18.5,0.33,11.9,40.2,829709,2015-04-10,2015,Rajasthan Royals,Punjab Kings,1
1516.0,1500.0,16.0,0.5230095872975623,1.0,1.0,1.0,1,0.5,1.0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,1.0,1,1,0,0.5,0.5,0,0,0,0.5,9.833333333333332,0.3055555555555556,0.2222222222222222,6.666666666666667,0.4166666666666667,0.16666666666666666,1.0,6.333333333333334,0.37037037037037035,0.09259259259259259,6.888888888888889,0.2777777777777778,0.1111111111111111,2.0,6.8,0.3333333333333333,0.1,9.4,0.16666666666666666,0.16666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,126.75399999999999,20.6,142.88933333333333,29.233333333333334,126.40828888888889,7.385,131.42174444444444,16.5825,13.748399634630257,1117,0.48214285714285715,8.617375,1.0,843,8,7.191,16.20404761904762,7.565892381903596,198,131.74960219316176,7.730633223684211,3,7,2,2,1,2,1,0,3,7,125.74718518518519,34.166666666666664,123.95625,22.975,91.62513392857143,4.225,112.68791738816739,19.20909090909091,15.938530521670874,779,0.55,7.631142857142857,1.1,470,7,6.65,15.011363636363637,6.06060606060606,26,100.50876048575404,7.939736193933109,5,4,3,1,3,2,1,1,0,6,150.0,0.0,0.5,1,70,1,1,1.0,4,2,30,1,0,0,9.833333333333332,-6.666666666666667,6.333333333333334,-6.888888888888889,6.8,-9.4,16.0,0.5,0.5,0.5,1,0.0,0.5,0.5,1,1,0,0.0,9.833333333333332,0.3055555555555556,0.2222222222222222,6.666666666666667,0.4166666666666667,0.16666666666666666,1.0,6.333333333333334,0.37037037037037035,0.09259259259259259,6.888888888888889,0.2777777777777778,0.1111111111111111,2.0,6.8,0.3333333333333333,0.1,9.4,0.16666666666666666,0.16666666666666666,2.0,1.0068148148148026,-13.566666666666663,18.93308333333333,6.258333333333333,34.78315496031746,3.16,18.73382705627705,-2.626590909090911,-2.190130887040617,338,-0.0678571428571429,0.9862321428571423,-0.10000000000000009,373,1,0.5409999999999995,1.1926839826839846,1.505286321297536,172,31.240841707407725,-0.2091029702488978,-2,3,-1,1,-2,0,0,-1,3,1,-28,1,16.5,13.222222222222223,16.2,0,0,1.0,0.0,1.0,1,0.5,0,13.0,1,13.0,10.0,0,10.0,0.35333333333333333,0.5,0.0,0.2,0.2575836239637671,0.2415060792710488,2.5758362396376713,2.656566871981537,120.0,0.05,120.0,0.05,0.0,0.0,0,0,0,0,0.0,0,2,3,0.05,1,1.0,0,4,0.0,0,0.5,2,-1,0.05,0.5,0,1,33.7,46.2,20.5,0.0,15.4,13.0,829711,2015-04-11,2015,Chennai Super Kings,Sunrisers Hyderabad,1
1516.0,1500.0,16.0,0.5230095872975623,1.0,1.0,1.0,1,1.0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,1.0,1,1,0,1.0,0.5,0,0,0,0.5,6.333333333333334,0.5,0.1388888888888889,6.166666666666666,0.4722222222222222,0.16666666666666666,1.0,10.11111111111111,0.16666666666666666,0.2037037037037037,7.111111111111111,0.3888888888888889,0.16666666666666666,0.0,11.714285714285714,0.38095238095238093,0.2857142857142857,13.4,0.2,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,111.11500000000001,32.35,134.7340888888889,20.619999999999997,148.6545238095238,5.866666666666667,121.9876378066378,16.854545454545455,15.469761390959878,1041,0.4166666666666667,7.6114999999999995,0.9500000000000001,835,6,5.425,0.0,0.0,0,135.74573447041277,7.531076898012382,6,5,5,1,4,0,2,0,3,4,127.05962500000001,37.2,131.51585185185183,26.333333333333332,138.24962037037037,6.183333333333334,134.37859343434343,17.318181818181817,15.950974960178174,918,0.44999999999999996,8.51295061728395,0.7666666666666667,502,9,5.0329999999999995,0.0,0.0,0,115.92707195452098,8.618339624250954,3,8,1,0,1,2,2,0,3,7,168.0,1.0,0.5,1,75,0,0,1.0,5,3,30,1,0,0,6.333333333333334,-6.166666666666666,10.11111111111111,-7.111111111111111,11.714285714285714,-13.4,16.0,0.5,0.5,0.5,1,0.5,0.0,0.5,1,1,0,0.5,6.333333333333334,0.5,0.1388888888888889,6.166666666666666,0.4722222222222222,0.16666666666666666,1.0,10.11111111111111,0.16666666666666666,0.2037037037037037,7.111111111111111,0.3888888888888889,0.16666666666666666,0.0,11.714285714285714,0.38095238095238093,0.2857142857142857,13.4,0.2,0.3333333333333333,1.0,-15.944625000000002,-4.850000000000001,3.2182370370370563,-5.713333333333335,10.40490343915343,-0.31666666666666643,-12.390955627705623,-0.4636363636363612,-0.48121356921829594,123,-0.03333333333333327,-0.9014506172839507,0.18333333333333335,333,-3,0.39200000000000035,0.0,0.0,0,19.818662515891788,-1.0872627262385715,3,-3,4,1,3,-2,0,0,0,-3,-27,1,12.5,17.22222222222222,25.114285714285714,1,0,79.0,0.0,1.0,1,0.5,0,15.5,1,15.5,10.0,0,10.0,0.6411764705882353,0.5,0.0,0.2,0.2388054852176165,0.26991278276191594,2.6268603373937816,2.9690406103810756,120.0,0.05,120.0,0.05,0.0,0.0,0,0,0,0,0.0,0,2,3,0.789,1,1.0,0,4,0.0,0,0.5,2,-1,0.789,0.5,1,0,32.0,56.2,22.2,0.1,9.2,89.5,829713,2015-04-11,2015,Kolkata Knight Riders,Royal Challengers Bengaluru,0
1484.0,1516.0,-32.0,0.4540780772195163,0.0,0.0,0.0,1,0.0,0.5,1.0,1.0,1.0,1,0.5,1.0,0.5,0,0.5,0.0,1,0,1,0.0,1.0,1,1,0,0.5,6.666666666666667,0.4166666666666667,0.16666666666666666,9.833333333333332,0.3055555555555556,0.2222222222222222,2.0,6.888888888888889,0.2777777777777778,0.1111111111111111,6.333333333333334,0.37037037037037035,0.09259259259259259,1.0,9.4,0.16666666666666666,0.16666666666666666,6.8,0.3333333333333333,0.1,0.0,5.833333333333333,0.4722222222222222,0.1111111111111111,8.5,0.4166666666666667,0.19444444444444445,3.0,8.333333333333332,0.37037037037037035,0.12962962962962962,5.888888888888889,0.48148148148148145,0.12962962962962962,2.0,10.4,0.16666666666666666,0.2,6.4,0.3333333333333333,0.1,2.0,132.96300000000002,23.7,125.3721875,17.9375,111.66553571428571,4.725,120.12376587301588,12.705555555555556,11.4645316525286,610,0.38,7.807428571428572,0.9285714285714286,635,7,6.9030000000000005,13.854112554112554,7.657652736901231,65,128.4185500543892,7.6096069364635905,6,3,2,2,3,0,1,1,1,6,113.43472222222223,26.4,107.96192857142857,16.475,126.50848888888888,9.002857142857142,117.38723665223665,14.883116883116884,13.754203636878968,529,0.37142857142857144,7.945428571428572,0.9285714285714286,474,7,7.575,19.34090909090909,7.347619047619048,28,153.0574413513261,6.1566688785666885,4,6,0,1,3,1,2,0,2,5,160.0,0.5,0.5,0,64,0,0,0.5,6,3,2,1,0,0,-1.833333333333333,-3.999999999999999,1.0,1.9999999999999982,3.0,3.6000000000000005,-32.0,-1.0,-1.0,-1.0,0,-0.5,-0.5,-1.0,0,-1,1,-0.5,0.8333333333333339,-0.055555555555555525,0.05555555555555555,1.3333333333333321,-0.1111111111111111,0.027777777777777762,-1.0,-1.4444444444444429,-0.09259259259259256,-0.018518518518518517,0.44444444444444464,-0.1111111111111111,-0.037037037037037035,-1.0,-1.0,0.0,-0.033333333333333354,0.39999999999999947,0.0,0.0,-2.0,19.528277777777788,-2.6999999999999993,17.410258928571423,1.4624999999999986,-14.842953174603167,-4.277857142857142,2.736529220779232,-2.177561327561328,-2.2896719843503686,81,0.008571428571428563,-0.1379999999999999,0.0,161,0,-0.6719999999999997,-5.486796536796536,0.3100336892821831,37,-24.63889129693692,1.452938057896902,2,-3,2,1,0,-1,-1,1,-1,1,1,1,2.166666666666666,-0.9999999999999982,-0.6000000000000005,2,0,-1.0,26.0,0.0,1,1.0,1,10.5,1,10.5,5.0,1,5.0,0.6442953020134228,0.2654320987654321,1.0,0.0,0.20718374242068827,0.26372463681686564,1.8646536817861943,2.900971004985522,120.0,0.05,120.0,0.05,0.0,0.0,0,0,0,0,0.0,0.0,0,5,-0.05,1,0.0,2,2,1.3,1,1.0,-2,3,-1.35,-1.0,0,1,28.1,44.5,14.9,0.0,8.5,98.5,829715,2015-04-12,2015,Delhi Capitals,Rajasthan Royals,0
1484.0,1484.0,0.0,0.5,0.0,0.0,0.0,1,0.0,0.5,0.0,0.0,0.0,1,0.5,0.0,0.5,0,0.5,0.0,1,0,1,0.0,0.0,1,0,1,0.5,8.5,0.4166666666666667,0.19444444444444445,5.833333333333333,0.4722222222222222,0.1111111111111111,0.0,5.888888888888889,0.48148148148148145,0.12962962962962962,8.333333333333332,0.37037037037037035,0.12962962962962962,7.0,6.4,0.3333333333333333,0.1,10.4,0.16666666666666666,0.2,1.0,6.166666666666666,0.4722222222222222,0.16666666666666666,6.333333333333334,0.5,0.1388888888888889,1.0,7.111111111111111,0.3888888888888889,0.16666666666666666,10.11111111111111,0.16666666666666666,0.2037037037037037,0.0,13.4,0.2,0.3333333333333333,11.714285714285714,0.38095238095238093,0.2857142857142857,1.0,113.9525,29.25,125.32392592592593,19.633333333333336,99.73280317460318,8.653333333333332,110.25407936507936,16.066666666666666,15.834034704438329,715,0.5375,7.382412698412699,1.0142857142857142,324,7,6.0,0.95,6.0,2,137.00515864476418,7.315573770491804,5,5,3,2,4,0,0,1,2,7,111.71199999999999,20.4,150.72539999999998,24.32,95.20969047619049,4.54,121.94431385281383,14.97272727272727,13.8874597176355,971,0.27999999999999997,8.76013888888889,0.6124999999999999,833,8,7.0,10.303030303030303,7.015873015873016,9,128.56395222665867,7.86394643569913,5,5,2,4,3,1,0,2,0,8,160.0,0.5,0.5,0,66,0,0,0.5,7,2,4,0,1,0,2.166666666666666,0.33333333333333304,-4.222222222222221,-1.2222222222222214,-5.314285714285713,3.0,0.0,0.0,0.0,0.0,0,-0.5,0.5,0.0,0,0,0,-0.5,2.333333333333334,-0.055555555555555525,0.02777777777777779,-0.5000000000000009,-0.02777777777777779,-0.02777777777777779,-1.0,-1.2222222222222214,0.09259259259259256,-0.037037037037037035,-1.7777777777777786,0.2037037037037037,-0.07407407407407407,7.0,-7.0,0.1333333333333333,-0.2333333333333333,-1.3142857142857132,-0.21428571428571427,-0.08571428571428569,0.0,2.2405000000000115,8.850000000000001,-25.401474074074045,-4.686666666666664,4.523112698412689,4.113333333333332,-11.690234487734472,1.0939393939393955,1.9465749868028297,-256,0.2575,-1.3777261904761904,0.4017857142857143,-509,-1,-1.0,-9.353030303030303,-1.0158730158730158,-7,8.441206418105509,-0.5483726652073262,0,0,1,-2,1,-1,0,-1,2,-1,-2,-1,1.833333333333333,-3.0,-8.314285714285713,1,3,-26.0,-79.0,0.0,1,0.0,1,8.5,1,8.5,10.0,0,10.0,0.34558823529411764,0.6726190476190477,1.0,0.0,0.24923041475282764,0.25285907152482695,2.4923041475282766,2.7814497867730967,120.0,0.05,120.0,0.05,0.0,0.0,0,0,0,0,0.0,0.0,0,7,-1.3,1,0.0,0,6,-0.789,1,0.0,0,1,-0.511,0.0,1,0,29.4,60.0,20.8,0.0,18.1,3.5,829717,2015-04-12,2015,Punjab Kings,Mumbai Indians,1
1516.736306793522,1484.736306793522,32.0,0.5459219227804837,1.0,1.0,1.0,1,1.0,0.5,0.0,0.0,0.0,1,0.0,0.5,0.5,0,0.5,1.0,1,1,0,1.0,0.0,1,0,1,0.0,6.833333333333333,0.5,0.1388888888888889,8.833333333333334,0.3055555555555556,0.2222222222222222,1.0,8.666666666666666,0.24074074074074073,0.18518518518518517,7.666666666666666,0.2777777777777778,0.16666666666666666,1.0,15.0,0.16666666666666666,0.375,11.0,0.2,0.3,1.0,7.666666666666666,0.3333333333333333,0.19444444444444445,8.166666666666668,0.5833333333333334,0.19444444444444445,5.0,7.666666666666666,0.25925925925925924,0.07407407407407407,10.254545454545454,0.3090909090909091,0.23636363636363636,1.0,9.8,0.06666666666666667,0.13333333333333333,13.200000000000001,0.13333333333333333,0.3333333333333333,1.0,126.48422222222221,39.849999999999994,138.31477777777778,26.3,137.30102777777776,5.816666666666666,135.6108131313131,17.59090909090909,16.0872521522375,927,0.4666666666666666,8.672506172839507,0.6888888888888889,508,9,5.0329999999999995,19.11818181818182,9.70860193953512,141,112.45690942929916,8.263392857142858,3,8,1,0,1,2,2,0,3,7,130.5228148148148,34.199999999999996,107.55525,16.5,92.30062003968254,5.825,108.34366746031746,17.54,13.937525064843431,747,0.36,7.310857142857143,1.042857142857143,520,7,6.258,31.9,8.54905303030303,42,123.6361294568951,8.314435156213515,4,5,3,1,3,1,0,1,1,7,160.0,0.5,0.5,0,62,0,0,0.5,8,2,2,1,0,0,-1.3333333333333348,-1.1666666666666679,-1.587878787878788,0.0,1.799999999999999,-1.1999999999999993,32.0,1.0,1.0,1.0,0,1.0,0.0,1.0,0,1,-1,1.0,-0.833333333333333,0.16666666666666669,-0.05555555555555555,0.6666666666666661,-0.2777777777777778,0.027777777777777762,-4.0,1.0,-0.018518518518518517,0.1111111111111111,-2.587878787878788,-0.03131313131313129,-0.0696969696969697,0.0,5.199999999999999,0.09999999999999999,0.24166666666666667,-2.200000000000001,0.06666666666666668,-0.033333333333333326,0.0,-4.038592592592593,5.649999999999999,30.759527777777777,9.8,45.00040773809522,-0.008333333333333748,27.267145670995646,0.05090909090909079,2.1497270873940693,180,0.10666666666666663,1.3616490299823631,-0.35396825396825404,-12,2,-1.2250000000000005,-12.781818181818178,1.1595489092320896,99,-11.179220027595946,-0.05104229907065694,-1,3,-2,-1,-2,1,2,-1,2,0,0,1,-0.16666666666666696,-1.587878787878788,2.9999999999999982,0,2,36.0,-45.0,1.0,1,0.0,1,10.0,1,10.0,10.0,0,10.0,0.6759776536312849,0.5548780487804879,0.0,0.0,0.26972948601184676,0.20393462322300934,2.9670243461303145,2.0393462322300935,120.0,0.05,120.0,0.05,0.0,0.0,0,0,0,0,0.0,0.0,2,3,0.571,1,1.0,0,8,-2.25,1,0.0,2,-5,2.8209999999999997,1.0,1,0,25.6,64.2,18.3,0.7,3.0,93.2,829719,2015-04-13,2015,Royal Challengers Bengaluru,Sunrisers Hyderabad,0
