match_id,season,captain1_id,captain1_name,captain1_team,captain2_id,captain2_name,captain2_team
829705,2015,48405,Rohit Sharma,Mumbai Indians,7773,Gautam Gambhir,Kolkata Knight Riders
829707,2015,7593,MS Dhoni,Chennai Super Kings,45222,Jean-Paul Duminy,Delhi Daredevils
829709,2015,50281,Steven Smith,Rajasthan Royals,35384,George Bailey,Kings XI Punjab
829711,2015,7593,MS Dhoni,Chennai Super Kings,48739,David Warner,Sunrisers Hyderabad
829713,2015,7773,Gautam Gambhir,Kolkata Knight Riders,49752,Virat Kohli,Royal Challengers Bangalore
829715,2015,45222,Jean-Paul Duminy,Delhi Daredevils,50281,Steven Smith,Rajasthan Royals
829717,2015,35384,George Bailey,Kings XI Punjab,48405,Rohit Sharma,Mumbai Indians
829719,2015,49752,Virat Kohli,Royal Challengers Bangalore,48739,David Warner,Sunrisers Hyderabad
829721,2015,48405,Rohit Sharma,Mumbai Indians,50281,Steven Smith,Rajasthan Royals
829723,2015,7593,MS Dhoni,Chennai Super Kings,7773,Gautam Gambhir,Kolkata Knight Riders
829725,2015,35384,George Bailey,Kings XI Punjab,45222,Jean-Paul Duminy,Delhi Daredevils
829727,2015,48739,David Warner,Sunrisers Hyderabad,50281,Steven Smith,Rajasthan Royals
829729,2015,48405,Rohit Sharma,Mumbai Indians,7593,MS Dhoni,Chennai Super Kings
829731,2015,45222,Jean-Paul Duminy,Delhi Daredevils,48739,David Warner,Sunrisers Hyderabad
829733,2015,35384,George Bailey,Kings XI Punjab,7773,Gautam Gambhir,Kolkata Knight Riders
829735,2015,7593,MS Dhoni,Chennai Super Kings,10125,Shane Watson,Rajasthan Royals
829737,2015,48405,Rohit Sharma,Mumbai Indians,49752,Virat Kohli,Royal Challengers Bangalore
829739,2015,45222,Jean-Paul Duminy,Delhi Daredevils,7773,Gautam Gambhir,Kolkata Knight Riders
829741,2015,10125,Shane Watson,Rajasthan Royals,7781,Virender Sehwag,Kings XI Punjab
829743,2015,48739,David Warner,Sunrisers Hyderabad,7773,Gautam Gambhir,Kolkata Knight Riders
829745,2015,7593,MS Dhoni,Chennai Super Kings,49752,Virat Kohli,Royal Challengers Bangalore
829747,2015,45222,Jean-Paul Duminy,Delhi Daredevils,48405,Rohit Sharma,Mumbai Indians
829749,2015,10125,Shane Watson,Rajasthan Royals,49752,Virat Kohli,Royal Challengers Bangalore
829751,2015,48405,Rohit Sharma,Mumbai Indians,48739,David Warner,Sunrisers Hyderabad
829753,2015,7593,MS Dhoni,Chennai Super Kings,35384,George Bailey,Kings XI Punjab
829755,2015,7773,Gautam Gambhir,Kolkata Knight Riders,10125,Shane Watson,Rajasthan Royals
