player_id,start_date,opposition,ground,innings,dismissals,catches,stumpings,ct_wk,ct_fi
955235,5 Jan 2016,v Galle CC,Colombo (PSS),2,0,0,0,0,0
955235,6 Jan 2016,v Bloomfield,Colombo (PSS),1,0,0,0,0,0
955235,24 Feb 2018,v Saracens,Colombo (Bloomfield),1,0,0,0,0,0
955235,27 Feb 2018,v SL Army,Colombo (NCC),2,0,0,0,0,0
955235,1 Mar 2018,v Panadura,Katunayake,1,1,1,0,0,1
955235,2 Mar 2018,v Negambo CC,Colombo (Burgher),1,0,0,0,0,0
955235,4 Mar 2018,v Badureliya,Katunayake,1,2,2,0,0,2
955235,7 Mar 2018,v Tamil Union,Colombo (PSS),2,0,0,0,0,0
955235,8 Mar 2018,v Nondescripts,Colombo (PSS),1,0,0,0,0,0
955235,15 Feb 2019,v Lankan CC,Panagoda,1,0,0,0,0,0
955235,16 Feb 2019,v Galle CC,Colombo (CCC),1,0,0,0,0,0
955235,18 Feb 2019,v Burgher,SLAOCIC Stadium,2,0,0,0,0,0
955235,19 Feb 2019,v Kandy CCC,Colombo (CCC),2,0,0,0,0,0
955235,21 Feb 2019,v Tamil Union,Colombo (CCC),1,1,1,0,0,1
955235,4 Jan 2020,v Kandy CCC,Colombo (Colts),2,0,0,0,0,0
955235,6 Jan 2020,v Nugegoda SWC,Katunayake,2,0,0,0,0,0
955235,8 Jan 2020,v SLPACC,Colombo (NCC),2,0,0,0,0,0
955235,10 Jan 2020,v Burgher,Colombo (SSC),1,0,0,0,0,0
955235,12 Jan 2020,v Lankan CC,Colombo (SSC),1,0,0,0,0,0
955235,15 Jan 2020,v Ragama CC,Colombo (PSS),1,0,0,0,0,0
955235,17 Jan 2020,v Badureliya,Katunayake,1,0,0,0,0,0
955235,19 Jan 2020,v Nondescripts,Katunayake,2,0,0,0,0,0
955235,21 Jan 2020,v Chilaw MCC,Colombo (SSC),1,0,0,0,0,0
955235,7 Dec 2020,v Kings,Hambantota,1,0,0,0,0,0
955235,9 Dec 2020,v Viiking,Hambantota,2,0,0,0,0,0
955235,10 Dec 2020,v Tuskers,Hambantota,1,0,0,0,0,0
955235,13 Dec 2020,v Kings,Hambantota,1,0,0,0,0,0
