player_id,name,bat_style,bowl_style,bowl_type,role,age,bat_hand
51433,Samuel Badree,Right-hand bat,Legbreak,spin,Bowler,45,right
960361,Sandeep Lamichhane,Right-hand bat,Legbreak googly,spin,Bowler,25,right
438362,Sandeep Sharma,Right-hand bat,Right-arm medium,pace,Bowler,32,right
592735,Sankarankutty Sandeep Warrier,Right-hand bat,Right-arm medium,pace,Bowler,34,right
1048841,Ramsingh  Sanjay Yadav,Left-hand bat,Slow left-arm orthodox,spin,Allrounder,30,left
425943,Sanju Viswanath Samson,Right-hand bat,,,Wicketkeeper batter,31,right
1132219,Sanvir Singh,Right-hand bat,Right-arm medium,pace,Allrounder,29,right
317292,Sarabjit Ladda,Right-hand bat,Legbreak,spin,Bowler,39,right
642525,Sarfaraz Naushad Khan,Right-hand bat,Legbreak,spin,Middle-order batter,28,right
35390,Saurabh Sunil Tiwary,Left-hand bat,,,Top-order batter,36,left
1287369,Saurav Dilipsingh Chauhan,Left-hand bat,Right-arm offbreak,spin,Top-order batter,25,left
446548,Scott Michael Boland,Right-hand bat,Right-arm fast-medium,pace,Bowler,36,right
539548,Scott Christopher Kuggeleijn,Right-hand bat,Right-arm fast-medium,pace,Bowling allrounder,34,right
398666,Sean Anthony Abbott,Right-hand bat,Right-arm fast-medium,pace,Bowling allrounder,34,right
29655,Shadab Bashir Jakati,Left-hand bat,Slow left-arm orthodox,spin,Bowler,45,left
1159711,Shahbaz Ahmed,Left-hand bat,Slow left-arm orthodox,spin,Allrounder,31,left
31872,Shahbaz Nadeem,Right-hand bat,Slow left-arm orthodox,spin,Bowler,36,right
581379,Shai Diego Hope,Right-hand bat,,,Wicketkeeper batter,32,right
56143,Shakib Al Hasan,Left-hand bat,Slow left-arm orthodox,spin,Allrounder,38,left
1356971,Shamar Joseph,Left-hand bat,Right-arm fast,pace,Bowler,26,left
1131607,Shams Zakir Mulani,Left-hand bat,Slow left-arm orthodox,spin,Allrounder,29,left
8180,Shane Robert Watson,Right-hand bat,Right-arm fast-medium,pace,Allrounder,44,right
475281,Shardul Narendra Thakur,Right-hand bat,Right-arm medium,pace,Bowling allrounder,34,right
377534,Shashank Singh,Right-hand bat,Right-arm medium,pace,Batting allrounder,34,right
6683,Shaun Edward Marsh,Left-hand bat,Slow left-arm orthodox,spin,Top-order batter,42,left
495551,Sheldon Shane Cottrell,Right-hand bat,Left-arm fast-medium,pace,Bowler,36,right
237696,Sheldon Philip Jackson,Right-hand bat,Right-arm offbreak,spin,Wicketkeeper batter,39,right
914541,Sherfane Eviston Rutherford,Left-hand bat,Right-arm fast-medium,pace,Middle-order batter,27,left
28235,Shikhar Dhawan,Left-hand bat,Right-arm offbreak,spin,Opening batter,40,left
670025,Shimron Odilon Hetmyer,Left-hand bat,,,Middle-order batter,29,left
714451,Shivam Dube,Left-hand bat,Right-arm medium,pace,Allrounder,32,left
1079848,Shivam Pankaj Mavi,Right-hand bat,Right-arm fast-medium,pace,Bowling allrounder,27,right
717201,Shivam Sharma,Right-hand bat,Right-arm offbreak,spin,Unknown,32,right
1380113,Shivam Singh,Right-hand bat,Right-arm offbreak,spin,Allrounder,30,right
917213,Shivil Kaushik,Right-hand bat,Left-arm wrist-spin,spin,Bowler,30,right
302579,Shreevats Pratyush Goswami,Left-hand bat,,,Wicketkeeper batter,36,left
344580,Shreyas Gopal,Right-hand bat,Legbreak,spin,Bowler,32,right
642519,Shreyas Santosh Iyer,Right-hand bat,Right-arm offbreak,spin,Top-order batter,31,right
1079668,Shubham Sanjay Agarwal,Right-hand bat,Legbreak googly,spin,Unknown,32,right
1252585,Shubham Badriprasad Dubey,Left-hand bat,Right-arm offbreak,spin,Middle-order batter,31,left
1070173,Shubman Gill,Right-hand bat,Right-arm offbreak,spin,Top-order batter,26,right
326017,Siddarth Kaul,Right-hand bat,Right-arm medium,pace,Bowler,35,right
422342,Siddhesh Dinesh Lad,Right-hand bat,Right-arm offbreak,spin,Middle-order batter,33,right
299572,Sikandar Raza Butt,Right-hand bat,Right-arm offbreak,spin,Batting allrounder,39,right
1159722,Simarjeet Singh,Right-hand bat,Right-arm medium-fast,pace,Bowler,28,right
379776,Sisanda Somila Bruce Magala,Right-hand bat,Right-arm fast-medium,pace,Bowler,35,right
