match_id,innings,over,ball,batsman_id,batsman,bowler_id,bowler,runs,play_type,is_wicket,wicket_type,total_runs,total_wickets,short_text
1304101,1,0.1,1,1060380,Ruturaj Gaikwad,475281,Shardul Thakur,0,no run,False,,0,0,"Thakur to Gaikwad, no run"
1304101,1,0.2,2,1060380,Ruturaj Gaikwad,475281,Shardul Thakur,1,run,False,,1,0,"Thakur to Gaikwad, 1 run"
1304101,1,0.3,3,379140,Devon Conway,475281,Shardul Thakur,4,four,False,,5,0,"Thakur to Conway, FOUR"
1304101,1,0.4,4,379140,Devon Conway,475281,Shardul Thakur,0,no run,False,,5,0,"Thakur to Conway, no run"
1304101,1,0.5,5,379140,Devon Conway,475281,Shardul Thakur,0,no run,False,,5,0,"Thakur to Conway, no run"
1304101,1,0.6,6,379140,Devon Conway,475281,Shardul Thakur,0,no run,False,,5,0,"Thakur to Conway, no run"
1304101,1,1.0,1,1060380,Ruturaj Gaikwad,942645,Khaleel Ahmed,1,wide,False,,6,0,"Ahmed to Gaikwad, 1 wide"
1304101,1,1.1,2,1060380,Ruturaj Gaikwad,942645,Khaleel Ahmed,0,no run,False,,6,0,"Ahmed to Gaikwad, no run"
1304101,1,1.2,3,1060380,Ruturaj Gaikwad,942645,Khaleel Ahmed,0,no run,False,,6,0,"Ahmed to Gaikwad, no run"
1304101,1,1.3,4,1060380,Ruturaj Gaikwad,942645,Khaleel Ahmed,1,run,False,,7,0,"Ahmed to Gaikwad, 1 run"
1304101,1,1.4,5,379140,Devon Conway,942645,Khaleel Ahmed,0,no run,False,,7,0,"Ahmed to Conway, no run"
1304101,1,1.5,6,379140,Devon Conway,942645,Khaleel Ahmed,1,run,False,,8,0,"Ahmed to Conway, 1 run"
1304101,1,1.6,7,1060380,Ruturaj Gaikwad,942645,Khaleel Ahmed,1,run,False,,9,0,"Ahmed to Gaikwad, 1 run"
1304101,1,2.1,1,1060380,Ruturaj Gaikwad,481979,Anrich Nortje,6,six,False,,15,0,"Nortje to Gaikwad, SIX"
1304101,1,2.1,2,1060380,Ruturaj Gaikwad,481979,Anrich Nortje,2,run,False,,17,0,"Nortje to Gaikwad, (no ball) 1 run"
1304101,1,2.2,3,379140,Devon Conway,481979,Anrich Nortje,4,four,False,,21,0,"Nortje to Conway, FOUR"
1304101,1,2.3,4,379140,Devon Conway,481979,Anrich Nortje,1,run,False,,22,0,"Nortje to Conway, 1 run"
1304101,1,2.4,5,1060380,Ruturaj Gaikwad,481979,Anrich Nortje,1,run,False,,23,0,"Nortje to Gaikwad, 1 run"
1304101,1,2.5,6,379140,Devon Conway,481979,Anrich Nortje,1,run,False,,24,0,"Nortje to Conway, 1 run"
1304101,1,2.6,7,1060380,Ruturaj Gaikwad,481979,Anrich Nortje,0,no run,False,,24,0,"Nortje to Gaikwad, no run"
1304101,1,3.1,1,379140,Devon Conway,942645,Khaleel Ahmed,0,no run,False,,24,0,"Ahmed to Conway, no run"
1304101,1,3.2,2,379140,Devon Conway,942645,Khaleel Ahmed,1,run,False,,25,0,"Ahmed to Conway, 1 run"
1304101,1,3.3,3,1060380,Ruturaj Gaikwad,942645,Khaleel Ahmed,1,run,False,,26,0,"Ahmed to Gaikwad, 1 run"
1304101,1,3.4,4,379140,Devon Conway,942645,Khaleel Ahmed,1,run,False,,27,0,"Ahmed to Conway, 1 run"
1304101,1,3.5,5,1060380,Ruturaj Gaikwad,942645,Khaleel Ahmed,1,run,False,,28,0,"Ahmed to Gaikwad, 1 run"
1304101,1,3.6,6,379140,Devon Conway,942645,Khaleel Ahmed,1,run,False,,29,0,"Ahmed to Conway, 1 run"
1304101,1,4.1,1,379140,Devon Conway,554691,Axar Patel,0,no run,False,,29,0,"AR Patel to Conway, no run"
1304101,1,4.2,2,379140,Devon Conway,554691,Axar Patel,1,run,False,,30,0,"AR Patel to Conway, 1 run"
1304101,1,4.3,3,1060380,Ruturaj Gaikwad,554691,Axar Patel,0,no run,False,,30,0,"AR Patel to Gaikwad, no run"
1304101,1,4.4,4,1060380,Ruturaj Gaikwad,554691,Axar Patel,1,run,False,,31,0,"AR Patel to Gaikwad, 1 run"
1304101,1,4.5,5,379140,Devon Conway,554691,Axar Patel,6,six,False,,37,0,"AR Patel to Conway, SIX"
1304101,1,4.6,6,379140,Devon Conway,554691,Axar Patel,6,six,False,,43,0,"AR Patel to Conway, SIX"
1304101,1,5.0,1,1060380,Ruturaj Gaikwad,475281,Shardul Thakur,2,wide,False,,45,0,"Thakur to Gaikwad, 2 wides"
1304101,1,5.1,2,379140,Devon Conway,475281,Shardul Thakur,1,run,False,,46,0,"Thakur to Conway, 1 run"
1304101,1,5.2,3,1060380,Ruturaj Gaikwad,475281,Shardul Thakur,1,run,False,,47,0,"Thakur to Gaikwad, 1 run"
1304101,1,5.3,4,379140,Devon Conway,475281,Shardul Thakur,1,run,False,,48,0,"Thakur to Conway, 1 run"
1304101,1,5.4,5,1060380,Ruturaj Gaikwad,475281,Shardul Thakur,4,four,False,,52,0,"Thakur to Gaikwad, FOUR"
1304101,1,5.5,6,1060380,Ruturaj Gaikwad,475281,Shardul Thakur,4,four,False,,56,0,"Thakur to Gaikwad, FOUR"
1304101,1,5.6,7,1060380,Ruturaj Gaikwad,475281,Shardul Thakur,1,run,False,,57,0,"Thakur to Gaikwad, 1 run"
1304101,1,6.1,1,1060380,Ruturaj Gaikwad,554691,Axar Patel,1,run,False,,58,0,"AR Patel to Gaikwad, 1 run"
1304101,1,6.2,2,379140,Devon Conway,554691,Axar Patel,1,run,False,,59,0,"AR Patel to Conway, 1 run"
1304101,1,6.3,3,1060380,Ruturaj Gaikwad,554691,Axar Patel,0,no run,False,,59,0,"AR Patel to Gaikwad, no run"
1304101,1,6.4,4,1060380,Ruturaj Gaikwad,554691,Axar Patel,1,run,False,,60,0,"AR Patel to Gaikwad, 1 run"
1304101,1,6.5,5,379140,Devon Conway,554691,Axar Patel,1,run,False,,61,0,"AR Patel to Conway, 1 run"
1304101,1,6.6,6,1060380,Ruturaj Gaikwad,554691,Axar Patel,0,no run,False,,61,0,"AR Patel to Gaikwad, no run"
1304101,1,7.1,1,379140,Devon Conway,559235,Kuldeep Yadav,1,run,False,,62,0,"Kuldeep Yadav to Conway, 1 run"
1304101,1,7.2,2,1060380,Ruturaj Gaikwad,559235,Kuldeep Yadav,0,no run,False,,62,0,"Kuldeep Yadav to Gaikwad, no run"
1304101,1,7.3,3,1060380,Ruturaj Gaikwad,559235,Kuldeep Yadav,1,run,False,,63,0,"Kuldeep Yadav to Gaikwad, 1 run"
1304101,1,7.4,4,379140,Devon Conway,559235,Kuldeep Yadav,6,six,False,,69,0,"Kuldeep Yadav to Conway, SIX"
1304101,1,7.5,5,379140,Devon Conway,559235,Kuldeep Yadav,6,six,False,,75,0,"Kuldeep Yadav to Conway, SIX"
1304101,1,7.6,6,379140,Devon Conway,559235,Kuldeep Yadav,4,four,False,,79,0,"Kuldeep Yadav to Conway, FOUR"
1304101,1,8.1,1,1060380,Ruturaj Gaikwad,554691,Axar Patel,1,run,False,,80,0,"AR Patel to Gaikwad, 1 run"
1304101,1,8.2,2,379140,Devon Conway,554691,Axar Patel,1,run,False,,81,0,"AR Patel to Conway, 1 run"
1304101,1,8.3,3,1060380,Ruturaj Gaikwad,554691,Axar Patel,1,run,False,,82,0,"AR Patel to Gaikwad, 1 run"
1304101,1,8.4,4,379140,Devon Conway,554691,Axar Patel,1,run,False,,83,0,"AR Patel to Conway, 1 run"
1304101,1,8.5,5,1060380,Ruturaj Gaikwad,554691,Axar Patel,1,run,False,,84,0,"AR Patel to Gaikwad, 1 run"
1304101,1,8.6,6,379140,Devon Conway,554691,Axar Patel,0,no run,False,,84,0,"AR Patel to Conway, no run"
1304101,1,9.1,1,1060380,Ruturaj Gaikwad,559235,Kuldeep Yadav,1,run,False,,85,0,"Kuldeep Yadav to Gaikwad, 1 run"
1304101,1,9.2,2,379140,Devon Conway,559235,Kuldeep Yadav,1,run,False,,86,0,"Kuldeep Yadav to Conway, 1 run"
1304101,1,9.3,3,1060380,Ruturaj Gaikwad,559235,Kuldeep Yadav,1,run,False,,87,0,"Kuldeep Yadav to Gaikwad, 1 run"
1304101,1,9.3,4,379140,Devon Conway,559235,Kuldeep Yadav,1,wide,False,,88,0,"Kuldeep Yadav to Conway, 1 wide"
1304101,1,9.4,5,379140,Devon Conway,559235,Kuldeep Yadav,4,four,False,,92,0,"Kuldeep Yadav to Conway, FOUR"
1304101,1,9.5,6,379140,Devon Conway,559235,Kuldeep Yadav,4,four,False,,96,0,"Kuldeep Yadav to Conway, FOUR"
1304101,1,9.6,7,379140,Devon Conway,559235,Kuldeep Yadav,4,four,False,,100,0,"Kuldeep Yadav to Conway, FOUR"
1304101,1,10.1,1,1060380,Ruturaj Gaikwad,481979,Anrich Nortje,4,four,False,,104,0,"Nortje to Gaikwad, FOUR"
1304101,1,10.2,2,1060380,Ruturaj Gaikwad,481979,Anrich Nortje,1,run,False,,105,0,"Nortje to Gaikwad, 1 run"
1304101,1,10.3,3,379140,Devon Conway,481979,Anrich Nortje,0,no run,False,,105,0,"Nortje to Conway, no run"
1304101,1,10.4,4,379140,Devon Conway,481979,Anrich Nortje,1,run,False,,106,0,"Nortje to Conway, 1 run"
1304101,1,10.5,5,1060380,Ruturaj Gaikwad,481979,Anrich Nortje,4,four,False,,110,0,"Nortje to Gaikwad, FOUR"
1304101,1,10.6,6,1060380,Ruturaj Gaikwad,481979,Anrich Nortje,0,out,True,caught,110,1,"Nortje to Gaikwad, OUT"
1304101,1,11.1,1,379140,Devon Conway,272450,Mitchell Marsh,4,four,False,,114,1,"Marsh to Conway, FOUR"
1304101,1,11.2,2,379140,Devon Conway,272450,Mitchell Marsh,4,run,False,,118,1,"Marsh to Conway, 4 runs"
1304101,1,11.3,3,379140,Devon Conway,272450,Mitchell Marsh,1,run,False,,119,1,"Marsh to Conway, 1 run"
1304101,1,11.4,4,714451,Shivam Dube,272450,Mitchell Marsh,1,run,False,,120,1,"Marsh to Dube, 1 run"
1304101,1,11.5,5,379140,Devon Conway,272450,Mitchell Marsh,1,run,False,,121,1,"Marsh to Conway, 1 run"
1304101,1,11.6,6,714451,Shivam Dube,272450,Mitchell Marsh,1,run,False,,122,1,"Marsh to Dube, 1 run"
1304101,1,12.1,1,714451,Shivam Dube,559235,Kuldeep Yadav,0,no run,False,,122,1,"Kuldeep Yadav to Dube, no run"
1304101,1,12.2,2,714451,Shivam Dube,559235,Kuldeep Yadav,1,run,False,,123,1,"Kuldeep Yadav to Dube, 1 run"
1304101,1,12.3,3,379140,Devon Conway,559235,Kuldeep Yadav,0,no run,False,,123,1,"Kuldeep Yadav to Conway, no run"
1304101,1,12.3,4,379140,Devon Conway,559235,Kuldeep Yadav,1,wide,False,,124,1,"Kuldeep Yadav to Conway, 1 wide"
1304101,1,12.4,5,379140,Devon Conway,559235,Kuldeep Yadav,6,six,False,,130,1,"Kuldeep Yadav to Conway, SIX"
1304101,1,12.5,6,379140,Devon Conway,559235,Kuldeep Yadav,1,run,False,,131,1,"Kuldeep Yadav to Conway, 1 run"
1304101,1,12.6,7,714451,Shivam Dube,559235,Kuldeep Yadav,0,no run,False,,131,1,"Kuldeep Yadav to Dube, no run"
1304101,1,13.1,1,379140,Devon Conway,272450,Mitchell Marsh,1,run,False,,132,1,"Marsh to Conway, 1 run"
1304101,1,13.2,2,714451,Shivam Dube,272450,Mitchell Marsh,0,no run,False,,132,1,"Marsh to Dube, no run"
1304101,1,13.2,3,714451,Shivam Dube,272450,Mitchell Marsh,1,wide,False,,133,1,"Marsh to Dube, 1 wide"
1304101,1,13.3,4,714451,Shivam Dube,272450,Mitchell Marsh,2,run,False,,135,1,"Marsh to Dube, 2 runs"
1304101,1,13.3,5,714451,Shivam Dube,272450,Mitchell Marsh,1,wide,False,,136,1,"Marsh to Dube, 1 wide"
1304101,1,13.4,6,714451,Shivam Dube,272450,Mitchell Marsh,2,run,False,,138,1,"Marsh to Dube, 2 runs"
1304101,1,13.5,7,714451,Shivam Dube,272450,Mitchell Marsh,1,run,False,,139,1,"Marsh to Dube, 1 run"
1304101,1,13.6,8,379140,Devon Conway,272450,Mitchell Marsh,1,run,False,,140,1,"Marsh to Conway, 1 run"
1304101,1,14.1,1,379140,Devon Conway,481979,Anrich Nortje,1,run,False,,141,1,"Nortje to Conway, 1 run"
1304101,1,14.2,2,714451,Shivam Dube,481979,Anrich Nortje,1,run,False,,142,1,"Nortje to Dube, 1 run"
1304101,1,14.3,3,379140,Devon Conway,481979,Anrich Nortje,0,no run,False,,142,1,"Nortje to Conway, no run"
1304101,1,14.4,4,379140,Devon Conway,481979,Anrich Nortje,1,run,False,,143,1,"Nortje to Conway, 1 run"
1304101,1,14.5,5,714451,Shivam Dube,481979,Anrich Nortje,4,four,False,,147,1,"Nortje to Dube, FOUR"
1304101,1,14.6,6,714451,Shivam Dube,481979,Anrich Nortje,1,run,False,,148,1,"Nortje to Dube, 1 run"
1304101,1,15.0,1,714451,Shivam Dube,475281,Shardul Thakur,1,wide,False,,149,1,"Thakur to Dube, 1 wide"
1304101,1,15.1,2,714451,Shivam Dube,475281,Shardul Thakur,1,run,False,,150,1,"Thakur to Dube, 1 run"
1304101,1,15.2,3,379140,Devon Conway,475281,Shardul Thakur,1,run,False,,151,1,"Thakur to Conway, 1 run"
1304101,1,15.3,4,714451,Shivam Dube,475281,Shardul Thakur,6,six,False,,157,1,"Thakur to Dube, SIX"
1304101,1,15.4,5,714451,Shivam Dube,475281,Shardul Thakur,6,six,False,,163,1,"Thakur to Dube, SIX"
1304101,1,15.5,6,714451,Shivam Dube,475281,Shardul Thakur,0,no run,False,,163,1,"Thakur to Dube, no run"
1304101,1,15.6,7,714451,Shivam Dube,475281,Shardul Thakur,4,four,False,,167,1,"Thakur to Dube, FOUR"
1304101,1,16.1,1,379140,Devon Conway,942645,Khaleel Ahmed,1,run,False,,168,1,"Ahmed to Conway, 1 run"
1304101,1,16.2,2,714451,Shivam Dube,942645,Khaleel Ahmed,1,run,False,,169,1,"Ahmed to Dube, 1 run"
1304101,1,16.3,3,379140,Devon Conway,942645,Khaleel Ahmed,0,out,True,caught,169,2,"Ahmed to Conway, OUT"
1304101,1,16.4,4,33141,Ambati Rayudu,942645,Khaleel Ahmed,0,no run,False,,169,2,"Ahmed to Rayudu, no run"
1304101,1,16.5,5,33141,Ambati Rayudu,942645,Khaleel Ahmed,0,no run,False,,169,2,"Ahmed to Rayudu, no run"
1304101,1,16.5,6,33141,Ambati Rayudu,942645,Khaleel Ahmed,1,wide,False,,170,2,"Ahmed to Rayudu, 1 wide"
1304101,1,16.6,7,33141,Ambati Rayudu,942645,Khaleel Ahmed,0,no run,False,,170,2,"Ahmed to Rayudu, no run"
1304101,1,17.1,1,714451,Shivam Dube,272450,Mitchell Marsh,0,out,True,caught,170,3,"Marsh to Dube, OUT"
1304101,1,17.2,2,28081,MS Dhoni,272450,Mitchell Marsh,0,no run,False,,170,3,"Marsh to Dhoni, no run"
1304101,1,17.3,3,28081,MS Dhoni,272450,Mitchell Marsh,6,six,False,,176,3,"Marsh to Dhoni, SIX"
1304101,1,17.4,4,28081,MS Dhoni,272450,Mitchell Marsh,4,four,False,,180,3,"Marsh to Dhoni, FOUR"
1304101,1,17.4,5,28081,MS Dhoni,272450,Mitchell Marsh,1,wide,False,,181,3,"Marsh to Dhoni, 1 wide"
1304101,1,17.5,6,28081,MS Dhoni,272450,Mitchell Marsh,1,run,False,,182,3,"Marsh to Dhoni, 1 run"
1304101,1,17.6,7,33141,Ambati Rayudu,272450,Mitchell Marsh,1,run,False,,183,3,"Marsh to Rayudu, 1 run"
1304101,1,18.1,1,33141,Ambati Rayudu,942645,Khaleel Ahmed,4,four,False,,187,3,"Ahmed to Rayudu, FOUR"
1304101,1,18.2,2,33141,Ambati Rayudu,942645,Khaleel Ahmed,0,out,True,caught,187,4,"Ahmed to Rayudu, OUT"
1304101,1,18.3,3,8917,Moeen Ali,942645,Khaleel Ahmed,4,four,False,,191,4,"Ahmed to Ali, FOUR"
1304101,1,18.4,4,8917,Moeen Ali,942645,Khaleel Ahmed,1,run,False,,192,4,"Ahmed to Ali, 1 run"
1304101,1,18.5,5,28081,MS Dhoni,942645,Khaleel Ahmed,0,no run,False,,192,4,"Ahmed to Dhoni, no run"
1304101,1,18.5,6,28081,MS Dhoni,942645,Khaleel Ahmed,1,wide,False,,193,4,"Ahmed to Dhoni, 1 wide"
1304101,1,18.6,7,28081,MS Dhoni,942645,Khaleel Ahmed,6,six,False,,199,4,"Ahmed to Dhoni, SIX"
1304101,1,19.1,1,8917,Moeen Ali,481979,Anrich Nortje,4,four,False,,203,4,"Nortje to Ali, FOUR"
1304101,1,19.2,2,8917,Moeen Ali,481979,Anrich Nortje,0,out,True,caught,203,5,"Nortje to Ali, OUT"
1304101,1,19.3,3,35582,Robin Uthappa,481979,Anrich Nortje,0,out,True,caught,203,6,"Nortje to Uthappa, OUT"
1304101,1,19.4,4,51439,Dwayne Bravo,481979,Anrich Nortje,1,run,False,,204,6,"Nortje to Bravo, 1 run"
1304101,1,19.5,5,28081,MS Dhoni,481979,Anrich Nortje,2,run,False,,206,6,"Nortje to Dhoni, 2 runs"
1304101,1,19.6,6,28081,MS Dhoni,481979,Anrich Nortje,2,run,False,,208,6,"Nortje to Dhoni, 2 runs"
1304101,2,0.1,1,219889,David Warner,1125688,Mukesh Choudhary,0,no run,False,,0,0,"Mukesh Choudhary to Warner, no run"
1304101,2,0.2,2,219889,David Warner,1125688,Mukesh Choudhary,0,no run,False,,0,0,"Mukesh Choudhary to Warner, no run"
1304101,2,0.3,3,219889,David Warner,1125688,Mukesh Choudhary,0,no run,False,,0,0,"Mukesh Choudhary to Warner, no run"
1304101,2,0.4,4,219889,David Warner,1125688,Mukesh Choudhary,0,no run,False,,0,0,"Mukesh Choudhary to Warner, no run"
1304101,2,0.5,5,219889,David Warner,1125688,Mukesh Choudhary,2,run,False,,2,0,"Mukesh Choudhary to Warner, 2 runs"
1304101,2,0.6,6,219889,David Warner,1125688,Mukesh Choudhary,6,six,False,,8,0,"Mukesh Choudhary to Warner, SIX"
1304101,2,1.1,1,529436,Srikar Bharat,1159722,Simarjeet Singh,4,four,False,,12,0,"Simarjeet Singh to Bharat, FOUR"
1304101,2,1.2,2,529436,Srikar Bharat,1159722,Simarjeet Singh,4,four,False,,16,0,"Simarjeet Singh to Bharat, FOUR"
1304101,2,1.3,3,529436,Srikar Bharat,1159722,Simarjeet Singh,0,no run,False,,16,0,"Simarjeet Singh to Bharat, no run"
1304101,2,1.4,4,529436,Srikar Bharat,1159722,Simarjeet Singh,0,no run,False,,16,0,"Simarjeet Singh to Bharat, no run"
1304101,2,1.5,5,529436,Srikar Bharat,1159722,Simarjeet Singh,0,out,True,caught,16,1,"Simarjeet Singh to Bharat, OUT"
1304101,2,1.6,6,272450,Mitchell Marsh,1159722,Simarjeet Singh,1,run,False,,17,1,"Simarjeet Singh to Marsh, 1 run"
1304101,2,2.1,1,272450,Mitchell Marsh,1125688,Mukesh Choudhary,4,four,False,,21,1,"Mukesh Choudhary to Marsh, FOUR"
1304101,2,2.2,2,272450,Mitchell Marsh,1125688,Mukesh Choudhary,0,no run,False,,21,1,"Mukesh Choudhary to Marsh, no run"
1304101,2,2.3,3,272450,Mitchell Marsh,1125688,Mukesh Choudhary,0,no run,False,,21,1,"Mukesh Choudhary to Marsh, no run"
1304101,2,2.4,4,272450,Mitchell Marsh,1125688,Mukesh Choudhary,0,no run,False,,21,1,"Mukesh Choudhary to Marsh, no run"
1304101,2,2.5,5,272450,Mitchell Marsh,1125688,Mukesh Choudhary,1,run,False,,22,1,"Mukesh Choudhary to Marsh, 1 run"
1304101,2,2.6,6,219889,David Warner,1125688,Mukesh Choudhary,6,six,False,,28,1,"Mukesh Choudhary to Warner, SIX"
1304101,2,3.1,1,272450,Mitchell Marsh,1159722,Simarjeet Singh,1,run,False,,29,1,"Simarjeet Singh to Marsh, 1 run"
1304101,2,3.2,2,219889,David Warner,1159722,Simarjeet Singh,0,no run,False,,29,1,"Simarjeet Singh to Warner, no run"
1304101,2,3.3,3,219889,David Warner,1159722,Simarjeet Singh,0,no run,False,,29,1,"Simarjeet Singh to Warner, no run"
1304101,2,3.4,4,219889,David Warner,1159722,Simarjeet Singh,1,run,False,,30,1,"Simarjeet Singh to Warner, 1 run"
1304101,2,3.5,5,272450,Mitchell Marsh,1159722,Simarjeet Singh,0,no run,False,,30,1,"Simarjeet Singh to Marsh, no run"
1304101,2,3.6,6,272450,Mitchell Marsh,1159722,Simarjeet Singh,2,run,False,,32,1,"Simarjeet Singh to Marsh, 2 runs"
1304101,2,4.1,1,219889,David Warner,1138316,Maheesh Theekshana,4,four,False,,36,1,"Theekshana to Warner, FOUR"
1304101,2,4.2,2,219889,David Warner,1138316,Maheesh Theekshana,0,out,True,leg before wicket,36,2,"Theekshana to Warner, OUT"
1304101,2,4.3,3,931581,Rishabh Pant,1138316,Maheesh Theekshana,0,no run,False,,36,2,"Theekshana to Pant, no run"
1304101,2,4.4,4,931581,Rishabh Pant,1138316,Maheesh Theekshana,4,four,False,,40,2,"Theekshana to Pant, FOUR"
1304101,2,4.5,5,931581,Rishabh Pant,1138316,Maheesh Theekshana,4,four,False,,44,2,"Theekshana to Pant, FOUR"
1304101,2,4.6,6,931581,Rishabh Pant,1138316,Maheesh Theekshana,4,four,False,,48,2,"Theekshana to Pant, FOUR"
1304101,2,5.1,1,272450,Mitchell Marsh,1159722,Simarjeet Singh,6,six,False,,54,2,"Simarjeet Singh to Marsh, SIX"
1304101,2,5.2,2,272450,Mitchell Marsh,1159722,Simarjeet Singh,0,no run,False,,54,2,"Simarjeet Singh to Marsh, no run"
1304101,2,5.3,3,272450,Mitchell Marsh,1159722,Simarjeet Singh,0,no run,False,,54,2,"Simarjeet Singh to Marsh, no run"
1304101,2,5.4,4,272450,Mitchell Marsh,1159722,Simarjeet Singh,0,no run,False,,54,2,"Simarjeet Singh to Marsh, no run"
1304101,2,5.5,5,272450,Mitchell Marsh,1159722,Simarjeet Singh,1,run,False,,55,2,"Simarjeet Singh to Marsh, 1 run"
1304101,2,5.6,6,931581,Rishabh Pant,1159722,Simarjeet Singh,4,four,False,,59,2,"Simarjeet Singh to Pant, FOUR"
1304101,2,6.1,1,272450,Mitchell Marsh,51439,Dwayne Bravo,4,four,False,,63,2,"Bravo to Marsh, FOUR"
1304101,2,6.2,2,272450,Mitchell Marsh,51439,Dwayne Bravo,1,run,False,,64,2,"Bravo to Marsh, 1 run"
1304101,2,6.3,3,931581,Rishabh Pant,51439,Dwayne Bravo,2,run,False,,66,2,"Bravo to Pant, 2 runs"
1304101,2,6.4,4,931581,Rishabh Pant,51439,Dwayne Bravo,1,run,False,,67,2,"Bravo to Pant, 1 run"
1304101,2,6.5,5,272450,Mitchell Marsh,51439,Dwayne Bravo,4,four,False,,71,2,"Bravo to Marsh, FOUR"
1304101,2,6.6,6,272450,Mitchell Marsh,51439,Dwayne Bravo,0,no run,False,,71,2,"Bravo to Marsh, no run"
1304101,2,7.1,1,931581,Rishabh Pant,8917,Moeen Ali,1,run,False,,72,2,"Ali to Pant, 1 run"
1304101,2,7.2,2,272450,Mitchell Marsh,8917,Moeen Ali,0,no run,False,,72,2,"Ali to Marsh, no run"
