match_id,innings,over,ball,batsman_id,batsman,bowler_id,bowler,runs,play_type,is_wicket,wicket_type,total_runs,total_wickets,short_text
829739,1,0.1,1,398438,Mayank Agarwal,376116,Umesh Yadav,0,no run,False,,0,0,"UT Yadav to Agarwal, no run"
829739,1,0.2,2,398438,Mayank Agarwal,376116,Umesh Yadav,0,no run,False,,0,0,"UT Yadav to Agarwal, no run"
829739,1,0.3,3,398438,Mayank Agarwal,376116,Umesh Yadav,0,no run,False,,0,0,"UT Yadav to Agarwal, no run"
829739,1,0.4,4,398438,Mayank Agarwal,376116,Umesh Yadav,0,no run,False,,0,0,"UT Yadav to Agarwal, no run"
829739,1,0.4,5,398438,Mayank Agarwal,376116,Umesh Yadav,1,wide,False,,1,0,"UT Yadav to Agarwal, 1 wide"
829739,1,0.4,6,398438,Mayank Agarwal,376116,Umesh Yadav,1,wide,False,,2,0,"UT Yadav to Agarwal, 1 wide"
829739,1,0.5,7,398438,Mayank Agarwal,376116,Umesh Yadav,0,no run,False,,2,0,"UT Yadav to Agarwal, no run"
829739,1,0.6,8,398438,Mayank Agarwal,376116,Umesh Yadav,1,run,False,,3,0,"UT Yadav to Agarwal, 1 run"
829739,1,1.1,1,398438,Mayank Agarwal,46538,Morne Morkel,0,no run,False,,3,0,"Morkel to Agarwal, no run"
829739,1,1.2,2,398438,Mayank Agarwal,46538,Morne Morkel,0,out,True,caught,3,1,"Morkel to Agarwal, OUT"
829739,1,1.2,3,642519,Shreyas Iyer,46538,Morne Morkel,1,wide,False,,4,1,"Morkel to Iyer, 1 wide"
829739,1,1.3,4,642519,Shreyas Iyer,46538,Morne Morkel,0,no run,False,,4,1,"Morkel to Iyer, no run"
829739,1,1.4,5,642519,Shreyas Iyer,46538,Morne Morkel,1,run,False,,5,1,"Morkel to Iyer, 1 run"
829739,1,1.5,6,44932,Jean-Paul Duminy,46538,Morne Morkel,0,no run,False,,5,1,"Morkel to Duminy, no run"
829739,1,1.6,7,44932,Jean-Paul Duminy,46538,Morne Morkel,0,no run,False,,5,1,"Morkel to Duminy, no run"
829739,1,2.1,1,642519,Shreyas Iyer,376116,Umesh Yadav,1,run,False,,6,1,"UT Yadav to Iyer, 1 run"
829739,1,2.2,2,44932,Jean-Paul Duminy,376116,Umesh Yadav,1,run,False,,7,1,"UT Yadav to Duminy, 1 run"
829739,1,2.3,3,642519,Shreyas Iyer,376116,Umesh Yadav,0,no run,False,,7,1,"UT Yadav to Iyer, no run"
829739,1,2.4,4,642519,Shreyas Iyer,376116,Umesh Yadav,1,run,False,,8,1,"UT Yadav to Iyer, 1 run"
829739,1,2.5,5,44932,Jean-Paul Duminy,376116,Umesh Yadav,4,four,False,,12,1,"UT Yadav to Duminy, FOUR"
829739,1,2.6,6,44932,Jean-Paul Duminy,376116,Umesh Yadav,0,no run,False,,12,1,"UT Yadav to Duminy, no run"
829739,1,3.1,1,642519,Shreyas Iyer,46538,Morne Morkel,0,no run,False,,12,1,"Morkel to Iyer, no run"
829739,1,3.2,2,642519,Shreyas Iyer,46538,Morne Morkel,4,four,False,,16,1,"Morkel to Iyer, FOUR"
829739,1,3.3,3,642519,Shreyas Iyer,46538,Morne Morkel,0,no run,False,,16,1,"Morkel to Iyer, no run"
829739,1,3.4,4,642519,Shreyas Iyer,46538,Morne Morkel,0,no run,False,,16,1,"Morkel to Iyer, no run"
829739,1,3.5,5,642519,Shreyas Iyer,46538,Morne Morkel,4,four,False,,20,1,"Morkel to Iyer, FOUR"
829739,1,3.6,6,642519,Shreyas Iyer,46538,Morne Morkel,2,run,False,,22,1,"Morkel to Iyer, 2 runs"
829739,1,4.1,1,44932,Jean-Paul Duminy,230558,Sunil Narine,0,no run,False,,22,1,"Narine to Duminy, no run"
829739,1,4.2,2,44932,Jean-Paul Duminy,230558,Sunil Narine,0,no run,False,,22,1,"Narine to Duminy, no run"
829739,1,4.3,3,44932,Jean-Paul Duminy,230558,Sunil Narine,0,out,True,bowled,22,2,"Narine to Duminy, OUT"
829739,1,4.4,4,35565,Manoj Tiwary,230558,Sunil Narine,4,four,False,,26,2,"Narine to Tiwary, FOUR"
829739,1,4.5,5,35565,Manoj Tiwary,230558,Sunil Narine,0,no run,False,,26,2,"Narine to Tiwary, no run"
829739,1,4.6,6,35565,Manoj Tiwary,230558,Sunil Narine,0,no run,False,,26,2,"Narine to Tiwary, no run"
829739,1,5.1,1,642519,Shreyas Iyer,276298,Andre Russell,1,run,False,,27,2,"Russell to Iyer, 1 run"
829739,1,5.2,2,35565,Manoj Tiwary,276298,Andre Russell,1,run,False,,28,2,"Russell to Tiwary, 1 run"
829739,1,5.3,3,642519,Shreyas Iyer,276298,Andre Russell,4,four,False,,32,2,"Russell to Iyer, FOUR"
829739,1,5.4,4,642519,Shreyas Iyer,276298,Andre Russell,1,run,False,,33,2,"Russell to Iyer, 1 run"
829739,1,5.5,5,35565,Manoj Tiwary,276298,Andre Russell,0,no run,False,,33,2,"Russell to Tiwary, no run"
829739,1,5.6,6,35565,Manoj Tiwary,276298,Andre Russell,1,run,False,,34,2,"Russell to Tiwary, 1 run"
829739,1,6.1,1,35565,Manoj Tiwary,32966,Piyush Chawla,1,leg bye,False,,35,2,"Chawla to Tiwary, 1 leg bye"
829739,1,6.1,2,642519,Shreyas Iyer,32966,Piyush Chawla,5,wide,False,,40,2,"Chawla to Iyer, 5 wides"
829739,1,6.2,3,642519,Shreyas Iyer,32966,Piyush Chawla,1,run,False,,41,2,"Chawla to Iyer, 1 run"
829739,1,6.3,4,35565,Manoj Tiwary,32966,Piyush Chawla,0,no run,False,,41,2,"Chawla to Tiwary, no run"
829739,1,6.4,5,35565,Manoj Tiwary,32966,Piyush Chawla,0,no run,False,,41,2,"Chawla to Tiwary, no run"
829739,1,6.5,6,35565,Manoj Tiwary,32966,Piyush Chawla,1,run,False,,42,2,"Chawla to Tiwary, 1 run"
829739,1,6.6,7,642519,Shreyas Iyer,32966,Piyush Chawla,1,run,False,,43,2,"Chawla to Iyer, 1 run"
829739,1,7.1,1,642519,Shreyas Iyer,276298,Andre Russell,0,no run,False,,43,2,"Russell to Iyer, no run"
829739,1,7.2,2,642519,Shreyas Iyer,276298,Andre Russell,6,six,False,,49,2,"Russell to Iyer, SIX"
829739,1,7.3,3,642519,Shreyas Iyer,276298,Andre Russell,0,no run,False,,49,2,"Russell to Iyer, no run"
829739,1,7.4,4,642519,Shreyas Iyer,276298,Andre Russell,0,no run,False,,49,2,"Russell to Iyer, no run"
829739,1,7.5,5,642519,Shreyas Iyer,276298,Andre Russell,1,run,False,,50,2,"Russell to Iyer, 1 run"
829739,1,7.6,6,35565,Manoj Tiwary,276298,Andre Russell,4,four,False,,54,2,"Russell to Tiwary, FOUR"
829739,1,8.1,1,642519,Shreyas Iyer,32966,Piyush Chawla,2,run,False,,56,2,"Chawla to Iyer, 2 runs"
829739,1,8.2,2,642519,Shreyas Iyer,32966,Piyush Chawla,1,run,False,,57,2,"Chawla to Iyer, 1 run"
829739,1,8.3,3,35565,Manoj Tiwary,32966,Piyush Chawla,1,run,False,,58,2,"Chawla to Tiwary, 1 run"
829739,1,8.4,4,642519,Shreyas Iyer,32966,Piyush Chawla,0,out,True,bowled,58,3,"Chawla to Iyer, OUT"
829739,1,8.5,5,36084,Yuvraj Singh,32966,Piyush Chawla,1,run,False,,59,3,"Chawla to Yuvraj Singh, 1 run"
829739,1,8.6,6,35565,Manoj Tiwary,32966,Piyush Chawla,1,run,False,,60,3,"Chawla to Tiwary, 1 run"
829739,1,9.1,1,35565,Manoj Tiwary,32498,Yusuf Pathan,4,four,False,,64,3,"Pathan to Tiwary, FOUR"
829739,1,9.2,2,35565,Manoj Tiwary,32498,Yusuf Pathan,1,run,False,,65,3,"Pathan to Tiwary, 1 run"
829739,1,9.3,3,36084,Yuvraj Singh,32498,Yusuf Pathan,1,run,False,,66,3,"Pathan to Yuvraj Singh, 1 run"
829739,1,9.4,4,35565,Manoj Tiwary,32498,Yusuf Pathan,1,run,False,,67,3,"Pathan to Tiwary, 1 run"
829739,1,9.5,5,36084,Yuvraj Singh,32498,Yusuf Pathan,1,run,False,,68,3,"Pathan to Yuvraj Singh, 1 run"
829739,1,9.6,6,35565,Manoj Tiwary,32498,Yusuf Pathan,1,run,False,,69,3,"Pathan to Tiwary, 1 run"
829739,1,10.1,1,35565,Manoj Tiwary,46538,Morne Morkel,0,no run,False,,69,3,"Morkel to Tiwary, no run"
829739,1,10.2,2,35565,Manoj Tiwary,46538,Morne Morkel,4,four,False,,73,3,"Morkel to Tiwary, FOUR"
829739,1,10.3,3,35565,Manoj Tiwary,46538,Morne Morkel,0,no run,False,,73,3,"Morkel to Tiwary, no run"
829739,1,10.4,4,35565,Manoj Tiwary,46538,Morne Morkel,0,no run,False,,73,3,"Morkel to Tiwary, no run"
829739,1,10.5,5,35565,Manoj Tiwary,46538,Morne Morkel,4,four,False,,77,3,"Morkel to Tiwary, FOUR"
829739,1,10.6,6,35565,Manoj Tiwary,46538,Morne Morkel,1,run,False,,78,3,"Morkel to Tiwary, 1 run"
829739,1,11.1,1,35565,Manoj Tiwary,230558,Sunil Narine,1,run,False,,79,3,"Narine to Tiwary, 1 run"
829739,1,11.2,2,36084,Yuvraj Singh,230558,Sunil Narine,0,no run,False,,79,3,"Narine to Yuvraj Singh, no run"
829739,1,11.3,3,36084,Yuvraj Singh,230558,Sunil Narine,1,run,False,,80,3,"Narine to Yuvraj Singh, 1 run"
829739,1,11.4,4,35565,Manoj Tiwary,230558,Sunil Narine,0,no run,False,,80,3,"Narine to Tiwary, no run"
829739,1,11.5,5,35565,Manoj Tiwary,230558,Sunil Narine,1,run,False,,81,3,"Narine to Tiwary, 1 run"
829739,1,11.6,6,36084,Yuvraj Singh,230558,Sunil Narine,0,no run,False,,81,3,"Narine to Yuvraj Singh, no run"
829739,1,12.1,1,35565,Manoj Tiwary,32966,Piyush Chawla,1,run,False,,82,3,"Chawla to Tiwary, 1 run"
829739,1,12.2,2,36084,Yuvraj Singh,32966,Piyush Chawla,0,no run,False,,82,3,"Chawla to Yuvraj Singh, no run"
829739,1,12.3,3,36084,Yuvraj Singh,32966,Piyush Chawla,0,no run,False,,82,3,"Chawla to Yuvraj Singh, no run"
829739,1,12.4,4,36084,Yuvraj Singh,32966,Piyush Chawla,4,four,False,,86,3,"Chawla to Yuvraj Singh, FOUR"
829739,1,12.5,5,36084,Yuvraj Singh,32966,Piyush Chawla,0,no run,False,,86,3,"Chawla to Yuvraj Singh, no run"
829739,1,12.6,6,36084,Yuvraj Singh,32966,Piyush Chawla,1,run,False,,87,3,"Chawla to Yuvraj Singh, 1 run"
829739,1,13.1,1,36084,Yuvraj Singh,46538,Morne Morkel,0,no run,False,,87,3,"Morkel to Yuvraj Singh, no run"
829739,1,13.2,2,36084,Yuvraj Singh,46538,Morne Morkel,6,six,False,,93,3,"Morkel to Yuvraj Singh, SIX"
829739,1,13.3,3,36084,Yuvraj Singh,46538,Morne Morkel,1,run,False,,94,3,"Morkel to Yuvraj Singh, 1 run"
829739,1,13.3,4,35565,Manoj Tiwary,46538,Morne Morkel,1,wide,False,,95,3,"Morkel to Tiwary, 1 wide"
829739,1,13.4,5,35565,Manoj Tiwary,46538,Morne Morkel,0,out,True,caught,95,4,"Morkel to Tiwary, OUT"
829739,1,13.5,6,49764,Angelo Mathews,46538,Morne Morkel,1,run,False,,96,4,"Morkel to Mathews, 1 run"
829739,1,13.6,7,36084,Yuvraj Singh,46538,Morne Morkel,0,no run,False,,96,4,"Morkel to Yuvraj Singh, no run"
829739,1,14.1,1,49764,Angelo Mathews,32966,Piyush Chawla,1,run,False,,97,4,"Chawla to Mathews, 1 run"
829739,1,14.2,2,36084,Yuvraj Singh,32966,Piyush Chawla,1,run,False,,98,4,"Chawla to Yuvraj Singh, 1 run"
829739,1,14.3,3,49764,Angelo Mathews,32966,Piyush Chawla,1,run,False,,99,4,"Chawla to Mathews, 1 run"
829739,1,14.4,4,36084,Yuvraj Singh,32966,Piyush Chawla,0,no run,False,,99,4,"Chawla to Yuvraj Singh, no run"
829739,1,14.5,5,36084,Yuvraj Singh,32966,Piyush Chawla,4,four,False,,103,4,"Chawla to Yuvraj Singh, FOUR"
829739,1,14.6,6,36084,Yuvraj Singh,32966,Piyush Chawla,0,out,True,stumped,103,5,"Chawla to Yuvraj Singh, OUT"
829739,1,15.1,1,49764,Angelo Mathews,276298,Andre Russell,0,no run,False,,103,5,"Russell to Mathews, no run"
829739,1,15.2,2,49764,Angelo Mathews,276298,Andre Russell,0,no run,False,,103,5,"Russell to Mathews, no run"
829739,1,15.3,3,49764,Angelo Mathews,276298,Andre Russell,0,no run,False,,103,5,"Russell to Mathews, no run"
829739,1,15.4,4,49764,Angelo Mathews,276298,Andre Russell,0,no run,False,,103,5,"Russell to Mathews, no run"
829739,1,15.5,5,49764,Angelo Mathews,276298,Andre Russell,1,run,False,,104,5,"Russell to Mathews, 1 run"
829739,1,15.6,6,290716,Kedar Jadhav,276298,Andre Russell,1,run,False,,105,5,"Russell to Jadhav, 1 run"
829739,1,16.1,1,290716,Kedar Jadhav,230558,Sunil Narine,0,no run,False,,105,5,"Narine to Jadhav, no run"
829739,1,16.2,2,290716,Kedar Jadhav,230558,Sunil Narine,0,no run,False,,105,5,"Narine to Jadhav, no run"
829739,1,16.3,3,290716,Kedar Jadhav,230558,Sunil Narine,1,leg bye,False,,106,5,"Narine to Jadhav, 1 leg bye"
829739,1,16.4,4,49764,Angelo Mathews,230558,Sunil Narine,1,run,False,,107,5,"Narine to Mathews, 1 run"
829739,1,16.5,5,290716,Kedar Jadhav,230558,Sunil Narine,4,four,False,,111,5,"Narine to Jadhav, FOUR"
829739,1,16.6,6,290716,Kedar Jadhav,230558,Sunil Narine,6,six,False,,117,5,"Narine to Jadhav, SIX"
829739,1,17.1,1,49764,Angelo Mathews,376116,Umesh Yadav,1,run,False,,118,5,"UT Yadav to Mathews, 1 run"
829739,1,17.2,2,290716,Kedar Jadhav,376116,Umesh Yadav,1,run,False,,119,5,"UT Yadav to Jadhav, 1 run"
829739,1,17.2,3,49764,Angelo Mathews,376116,Umesh Yadav,1,wide,False,,120,5,"UT Yadav to Mathews, 1 wide"
829739,1,17.3,4,49764,Angelo Mathews,376116,Umesh Yadav,1,run,False,,121,5,"UT Yadav to Mathews, 1 run"
829739,1,17.4,5,290716,Kedar Jadhav,376116,Umesh Yadav,1,leg bye,False,,122,5,"UT Yadav to Jadhav, 1 leg bye"
829739,1,17.5,6,49764,Angelo Mathews,376116,Umesh Yadav,1,run,False,,123,5,"UT Yadav to Mathews, 1 run"
829739,1,17.6,7,290716,Kedar Jadhav,376116,Umesh Yadav,0,out,True,caught,123,6,"UT Yadav to Jadhav, OUT"
829739,1,18.1,1,49764,Angelo Mathews,230558,Sunil Narine,6,six,False,,129,6,"Narine to Mathews, SIX"
829739,1,18.2,2,49764,Angelo Mathews,230558,Sunil Narine,6,six,False,,135,6,"Narine to Mathews, SIX"
829739,1,18.3,3,49764,Angelo Mathews,230558,Sunil Narine,2,run,False,,137,6,"Narine to Mathews, 2 runs"
